Timestamp,Date,Time,Pee,Food,Quantity (ml),Notes,Poop
28/03/2021 22:44,2021-03-28,22:22:00,Pee,Breast (Pumped),30,,Poop
29/03/2021 00:21,2021-03-29,00:00:00,Pee,,,,
29/03/2021 00:46,2021-03-29,00:45:00,,Breast (Pumped),30,,
29/03/2021 03:16,2021-03-29,03:10:00,Pee,Breast (Pumped),25,Only a tiny amount of poop,Poop
29/03/2021 04:01,2021-03-29,04:00:00,Pee,,,,
29/03/2021 05:19,2021-03-29,05:15:00,Pee,Breast (Pumped),30,,Poop
29/03/2021 05:31,2021-03-29,05:30:00,,,,,Poop
29/03/2021 08:57,2021-03-29,08:15:00,,Breast (Pumped),30,,
29/03/2021 09:16,2021-03-29,08:30:00,Pee,,,,Poop
29/03/2021 12:11,2021-03-29,12:03:00,,Breast (Pumped),30,,Poop
29/03/2021 14:47,2021-03-29,14:47:00,,,,,Poop
29/03/2021 14:53,2021-03-29,14:53:00,,Breast (Pumped),25,,
29/03/2021 20:03,2021-03-29,18:00:00,,Breast (Pumped),30,,
29/03/2021 22:00,2021-03-29,21:00:00,Pee,Breast (Pumped),20,A little blood on diaper from cord,Poop
29/03/2021 23:11,2021-03-29,23:00:00,,Breast (Pumped),30,,
30/03/2021 03:20,2021-03-30,02:30:00,Pee,Breast (Pumped),30,,Poop
30/03/2021 03:20,2021-03-30,03:00:00,,,,,Poop
30/03/2021 04:41,2021-03-30,04:40:00,,Breast (Pumped),30,,
30/03/2021 08:08,2021-03-30,07:30:00,Pee,Breast (Pumped),30,,Poop
30/03/2021 08:08,2021-03-30,08:00:00,Pee,,,,Poop
30/03/2021 10:18,2021-03-30,10:10:00,,Breast (Pumped),30,,
30/03/2021 10:31,2021-03-30,10:30:00,,,,Tiny amount ,Poop
30/03/2021 12:23,2021-03-30,12:15:00,,Breast (Pumped),20,,
30/03/2021 15:45,2021-03-30,15:30:00,Pee,Breast (Pumped),25,,Poop
30/03/2021 18:19,2021-03-30,17:30:00,,Breast (Pumped),30,,
30/03/2021 18:19,2021-03-30,18:20:00,Pee,,,,Poop
30/03/2021 21:15,2021-03-30,21:15:00,,Breast (Pumped),30,,
30/03/2021 21:56,2021-03-30,21:45:00,,,,small poop,Poop
30/03/2021 23:36,2021-03-30,23:15:00,,Breast (Pumped),26,,
31/03/2021 00:50,2021-03-31,00:45:00,,,,,Poop
31/03/2021 01:28,2021-03-31,01:25:00,,Breast (Pumped),30,,
31/03/2021 05:10,2021-03-31,05:00:00,,Breast (Pumped),25,,
31/03/2021 07:14,2021-03-31,07:05:00,,Breast (Pumped),30,,
31/03/2021 10:04,2021-03-31,10:00:00,,Breast (Pumped),20,,
31/03/2021 14:02,2021-03-31,13:15:00,Pee,Breast (Pumped),25,,Poop
31/03/2021 16:04,2021-03-31,15:30:00,,Breast (Pumped),30,Added 30 ml neuropro ,Poop
31/03/2021 18:41,2021-03-31,18:00:00,,Breast (Pumped),20,,
31/03/2021 19:15,2021-03-31,19:15:00,,Formula (Neopro),40,,
31/03/2021 22:55,2021-03-31,22:45:00,,Breast (Pumped),35,,
01/04/2021 00:05,2021-03-31,23:45:00,,Formula (Neopro),40,,
01/04/2021 02:50,2021-04-01,02:45:00,,Formula (Neopro),50,,
01/04/2021 03:26,2021-04-01,03:15:00,Pee,,,,Poop
01/04/2021 06:02,2021-04-01,05:50:00,,Breast (Pumped),50,,
01/04/2021 06:36,2021-04-01,06:30:00,Pee,,,,Poop
01/04/2021 08:24,2021-04-01,08:15:00,,Breast (Pumped),55,,
01/04/2021 10:24,2021-04-01,08:45:00,Pee,,,,Poop
01/04/2021 11:10,2021-04-01,11:00:00,,Breast (Pumped),20,,
01/04/2021 11:55,2021-04-01,11:45:00,,Breast (Pumped),30,,
01/04/2021 14:43,2021-04-01,14:35:00,,Breast (Pumped),50,,
01/04/2021 17:36,2021-04-01,17:35:00,,Breast (Pumped),45,,
